全表适应度排名,来源文件,文件修改时间,文件内序号,实例,算法,运行类别,运行条件备注,原始备注,预算G,预算T_MAX,预算说明,run_seed,迭代次数,适应度值,运行时间_秒,运行时间_分钟,最快最佳结果时间_秒,最快最佳结果时间_分钟,宽高比是否满足,gbest更新次数,开始时间,最快时间,结束时间,读取编码
106,Du62-ELP_RL_Standard_ED1.csv,2026-05-10 22:07:28,69,Du62,ELP_RL_Standard_ED1,历史变体,ELP_RL_Standard_ED1历史记录；ED1配置/版本记录。,ELP+DQN(main:0/1/2/3/9/10/11/14/15; elite:10/11/14/0; heavy_two_stage:9/10/11/14/15),,,总迭代=100000，G/T未显式记录,,100000,7325044.912104949,19566.027557,326.10045928333335,19462.735278,324.3789213,True,262,2026-04-08 15:57:03.449105,2026-04-08 21:21:26.184383,2026-04-08 21:23:09.476662,utf-8-sig
135,Du62-ELP_RL_Standard_ED1.csv,2026-05-10 22:07:28,70,Du62,ELP_RL_Standard_ED1,历史变体,ELP_RL_Standard_ED1历史记录；ED1配置/版本记录。,ELP+DQN(main:0/1/2/3/9/10/11/14/15; elite:10/11/14/0; heavy_two_stage:9/10/11/14/15),,,总迭代=100000，G/T未显式记录,,100000,7367308.113059823,23252.640574,387.54400956666666,21687.122722,361.45204536666665,True,246,2026-04-08 21:43:55.840825,2026-04-09 03:45:22.963547,2026-04-09 04:11:28.481399,utf-8-sig
122,Du62-ELP_RL_Standard_ED1.csv,2026-05-10 22:07:28,71,Du62,ELP_RL_Standard_ED1,历史变体,ELP_RL_Standard_ED1历史记录；ED1配置/版本记录。,ELP+DQN(main:0/1/2/3/9/10/11/14/15; elite:10/11/14/0; heavy_two_stage:9/10/11/14/15),,,总迭代=100000，G/T未显式记录,,100000,7351172.091249018,19400.927522,323.3487920333334,18520.263159,308.67105265,True,269,2026-04-09 04:11:28.727976,2026-04-09 09:20:08.991135,2026-04-09 09:34:49.655498,utf-8-sig
107,Du62-ELP_RL_Standard_ED1.csv,2026-05-10 22:07:28,72,Du62,ELP_RL_Standard_ED1,历史变体,ELP_RL_Standard_ED1历史记录；ED1配置/版本记录。,ELP+DQN(main:0/1/2/3/9/10/11/14/15; elite:10/11/14/0; heavy_two_stage:9/10/11/14/15),,,总迭代=100000，G/T未显式记录,,100000,7325044.912104949,19470.485648,324.5080941333334,19408.603452,323.4767242,True,262,2026-04-09 09:43:10.470585,2026-04-09 15:06:39.074037,2026-04-09 15:07:40.956233,utf-8-sig
172,Du62-ELP_RL_Standard_ED1.csv,2026-05-10 22:07:28,73,Du62,ELP_RL_Standard_ED1,历史变体,ELP_RL_Standard_ED1历史记录；ED1配置/版本记录。,ELP+DQN(main:0/1/2/3/9/10/11/14/15; elite:10/11/14/0; heavy_two_stage:9/10/11/14/15),,,总迭代=100000，G/T未显式记录,,100000,7392917.444435414,22250.664665,370.84441108333334,20024.265634,333.7377605666667,True,230,2026-04-09 15:28:57.373129,2026-04-09 21:02:41.638763,2026-04-09 21:39:48.037794,utf-8-sig
131,Du62-ELP_RL_Standard_ED1.csv,2026-05-10 22:07:28,74,Du62,ELP_RL_Standard_ED1,历史变体,ELP_RL_Standard_ED1历史记录；ED1配置/版本记录。,ELP+DQN(main:0/1/2/3/9/10/11/14/15; elite:10/11/14/0; heavy_two_stage:9/10/11/14/15),,,总迭代=100000，G/T未显式记录,,100000,7365818.1956101535,20917.192933,348.61988221666667,18963.797704,316.0632950666667,True,255,2026-04-09 22:18:04.440497,2026-04-10 03:34:08.238201,2026-04-10 04:06:41.633430,utf-8-sig
241,Du62-ELP_RL_Standard_ED1.csv,2026-05-10 22:07:28,75,Du62,ELP_RL_Standard_ED1,历史变体,ELP_RL_Standard_ED1历史记录；ED1配置/版本记录。,ELP+DQN(main:0/1/2/3/9/10/11/14/15; elite:10/11/14/0; heavy_two_stage:9/10/11/14/15),,,总迭代=100000，G/T未显式记录,,100000,7426605.151416649,20123.214559,335.3869093166667,10353.461482,172.5576913666667,True,240,2026-04-10 04:06:41.922752,2026-04-10 06:59:15.384234,2026-04-10 09:42:05.137311,utf-8-sig
113,Du62-ELP_RL_Standard_ED1.csv,2026-05-10 22:07:28,76,Du62,ELP_RL_Standard_ED1,历史变体,ELP_RL_Standard_ED1历史记录；ED1配置/版本记录。,"WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)",,,总迭代=100000，G/T未显式记录,,100000,7338746.873878226,165415.129933,2756.9188322166665,79814.200852,1330.2366808666666,True,193,2026-04-08 14:11:13.166984,2026-04-09 12:21:27.367836,2026-04-10 12:08:08.296917,utf-8-sig
148,Du62-ELP_RL_Standard_ED1.csv,2026-05-10 22:07:28,77,Du62,ELP_RL_Standard_ED1,历史变体,ELP_RL_Standard_ED1历史记录；ED1配置/版本记录。,ELP+DQN(main:0/1/2/3/9/10/11/14/15; elite:10/11/14/0; heavy_two_stage:9/10/11/14/15),,,总迭代=100000，G/T未显式记录,,100000,7375469.089083234,22396.217734,373.2702955666667,20767.222987,346.1203831166667,True,261,2026-04-10 09:51:59.240039,2026-04-10 15:38:06.463026,2026-04-10 16:05:15.457773,utf-8-sig
224,Du62-ELP_RL_Standard_ED1.csv,2026-05-10 22:07:28,78,Du62,ELP_RL_Standard_ED1,历史变体,ELP_RL_Standard_ED1历史记录；ED1配置/版本记录。,ELP+DQN(main:0/1/2/3/9/10/11/14/15; elite:10/11/14/0; heavy_two_stage:9/10/11/14/15),,,总迭代=40000，G/T未显式记录,,40000,7418324.647944044,13004.351948,216.73919913333333,12949.224528,215.82040880000002,True,222,2026-04-10 16:30:42.319534,2026-04-10 20:06:31.544062,2026-04-10 20:07:26.671482,utf-8-sig
